Produto,Estoque,Vendidos,Data_de_vendas,Vendedor,cidade,latitude,longitude,Preco_kg,Faturamento,Não_vendidos
Trigo,761,127,2024-09-16,Ricardo,Fortaleza,-3.71722,-38.5434,1.42,180.34,1080.62
Algodão,180,273,2024-09-17,Ricardo,Fortaleza,-3.71722,-38.5434,17.68,4826.64,3182.4
Algodão,434,235,2024-09-18,Ana,Manaus,-3.10194,-60.025,17.68,4154.8,7673.12
Milho,708,178,2024-09-19,Carlos,Fortaleza,-3.71722,-38.5434,1.09,194.02,771.72
Algodão,641,66,2024-09-20,Ricardo,Porto Alegre,-30.034647,-51.217658,17.68,1166.88,11332.88
Soja,460,460,2024-09-21,Ana,Recife,-8.04756,-34.877,2.33,1071.8,1071.8
Soja,694,387,2024-09-22,Patrícia,Manaus,-3.10194,-60.025,2.33,901.71,1617.02
Milho,488,354,2024-09-23,Maria,Curitiba,-25.428954,-49.267137,1.09,385.86,531.9200000000001
Milho,213,117,2024-09-24,Maria,Curitiba,-25.428954,-49.267137,1.09,127.53000000000002,232.17
Trigo,974,133,2024-09-25,Ana,Curitiba,-25.428954,-49.267137,1.42,188.86,1383.08
Soja,777,194,2024-09-26,Carlos,Porto Alegre,-30.034647,-51.217658,2.33,452.02,1810.41
Soja,266,17,2024-09-27,Carlos,Recife,-8.04756,-34.877,2.33,39.61,619.78
Algodão,908,465,2024-09-28,Desconhecido,Salvador,-12.971399,-38.501305,17.68,8221.2,16053.44
Algodão,917,311,2024-09-29,Carlos,Salvador,-12.971399,-38.501305,17.68,5498.48,16212.56
Cana-de-açúcar,705,414,2024-09-30,Maria,Recife,-8.04756,-34.877,1.28,529.92,902.4
Algodão,973,382,2024-10-01,Ana,Curitiba,-25.428954,-49.267137,17.68,6753.76,17202.64
Trigo,385,222,2024-10-02,Carlos,Salvador,-12.971399,-38.501305,1.42,315.24,546.6999999999999
Algodão,629,132,2024-10-03,Pedro,Belo Horizonte,-19.924502,-43.935237,17.68,2333.76,11120.72
Cana-de-açúcar,941,84,2024-10-04,Ana,Salvador,-12.971399,-38.501305,1.28,107.52,1204.48
Cana-de-açúcar,16,119,2024-10-05,João,Brasília,-15.794229,-47.882166,1.28,152.32,20.48
Cana-de-açúcar,827,827,2024-10-06,Ricardo,São Paulo,-23.55052,-46.633308,1.28,1058.56,1058.56
Trigo,933,69,2024-10-07,Carlos,Manaus,-3.10194,-60.025,1.42,97.98,1324.86
Café,217,410,2024-10-08,Carlos,Manaus,-3.10194,-60.025,38.57,15813.7,8369.69
Arroz,227,227,2024-10-09,Patrícia,Manaus,-3.10194,-60.025,1.56,354.12,354.12
Algodão,895,326,2024-10-10,João,Manaus,-3.10194,-60.025,17.68,5763.68,15823.6
Milho,866,498,2024-10-11,Pedro,Belo Horizonte,-19.924502,-43.935237,1.09,542.82,943.94
Soja,153,153,2024-10-12,Ana,Manaus,-3.10194,-60.025,2.33,356.49,356.49
Trigo,221,51,2024-10-13,Carlos,Recife,-8.04756,-34.877,1.42,72.42,313.82
Café,231,231,2024-10-14,Fernanda,Manaus,-3.10194,-60.025,38.57,8909.67,8909.67
Algodão,47,291,2024-10-15,Desconhecido,Manaus,-3.10194,-60.025,17.68,5144.88,830.96
Milho,480,364,2024-10-16,Fernanda,Curitiba,-25.428954,-49.267137,1.09,396.7600000000001,523.2
Trigo,351,274,2024-10-17,Ricardo,Curitiba,-25.428954,-49.267137,1.42,389.08,498.42
Soja,955,189,2024-10-18,Maria,Manaus,-3.10194,-60.025,2.33,440.37,2225.15
Café,859,410,2024-10-19,Patrícia,São Paulo,-23.55052,-46.633308,38.57,15813.7,33131.63
Arroz,167,472,2024-10-20,Pedro,Recife,-8.04756,-34.877,1.56,736.32,260.52
Soja,458,275,2024-10-21,Fernanda,Belo Horizonte,-19.924502,-43.935237,2.33,640.75,1067.14
Milho,6,266,2024-10-22,Fernanda,Brasília,-15.794229,-47.882166,1.09,289.94,6.540000000000001
Arroz,421,365,2024-10-23,Maria,Brasília,-15.794229,-47.882166,1.56,569.4,656.76
Cana-de-açúcar,119,295,2024-10-24,João,Curitiba,-25.428954,-49.267137,1.28,377.6,152.32
Milho,81,50,2024-10-25,Ricardo,Manaus,-3.10194,-60.025,1.09,54.50000000000001,88.29
Algodão,954,62,2024-10-26,Maria,Curitiba,-25.428954,-49.267137,17.68,1096.16,16866.72
Milho,925,305,2024-10-27,Ricardo,Manaus,-3.10194,-60.025,1.09,332.45000000000005,1008.25
Trigo,229,401,2024-10-28,Ricardo,Recife,-8.04756,-34.877,1.42,569.42,325.18
Café,990,306,2024-10-29,Pedro,Porto Alegre,-30.034647,-51.217658,38.57,11802.42,38184.3
Cana-de-açúcar,903,447,2024-10-30,Pedro,Belo Horizonte,-19.924502,-43.935237,1.28,572.16,1155.84
Cana-de-açúcar,487,333,2024-10-31,Ana,Manaus,-3.10194,-60.025,1.28,426.24,623.36
Trigo,220,220,2024-11-01,Pedro,Recife,-8.04756,-34.877,1.42,312.4,312.4
Soja,803,64,2024-11-02,Fernanda,Rio de Janeiro,-22.906847,-43.172896,2.33,149.12,1870.99
Arroz,407,61,2024-11-03,Ana,Manaus,-3.10194,-60.025,1.56,95.16,634.9200000000001
Soja,606,334,2024-11-04,Ricardo,Rio de Janeiro,-22.906847,-43.172896,2.33,778.22,1411.98
Arroz,315,276,2024-11-05,João,Brasília,-15.794229,-47.882166,1.56,430.56,491.4
Milho,765,454,2024-11-06,João,Fortaleza,-3.71722,-38.5434,1.09,494.86,833.85
Arroz,464,454,2024-11-07,Ricardo,Rio de Janeiro,-22.906847,-43.172896,1.56,708.24,723.84
Arroz,523,285,2024-11-08,Ricardo,Manaus,-3.10194,-60.025,1.56,444.6,815.88
Algodão,111,158,2024-11-09,Fernanda,Fortaleza,-3.71722,-38.5434,17.68,2793.44,1962.48
Soja,303,303,2024-11-10,Desconhecido,Rio de Janeiro,-22.906847,-43.172896,2.33,705.99,705.99
Algodão,544,173,2024-11-11,Patrícia,Fortaleza,-3.71722,-38.5434,17.68,3058.64,9617.92
Arroz,282,282,2024-11-12,Carlos,Belo Horizonte,-19.924502,-43.935237,1.56,439.92,439.92
Cana-de-açúcar,533,356,2024-11-13,Pedro,Manaus,-3.10194,-60.025,1.28,455.68,682.24
Trigo,424,424,2024-11-14,Patrícia,Salvador,-12.971399,-38.501305,1.42,602.0799999999999,602.0799999999999
Soja,838,230,2024-11-15,Fernanda,Recife,-8.04756,-34.877,2.33,535.9,1952.54
Algodão,513,50,2024-11-16,Ricardo,São Paulo,-23.55052,-46.633308,17.68,884.0,9069.84
Arroz,806,129,2024-11-17,Ricardo,Brasília,-15.794229,-47.882166,1.56,201.24,1257.36
Milho,431,250,2024-11-18,Desconhecido,Brasília,-15.794229,-47.882166,1.09,272.5,469.79
Soja,67,370,2024-11-19,Maria,Salvador,-12.971399,-38.501305,2.33,862.1,156.11
Soja,534,287,2024-11-20,Carlos,Porto Alegre,-30.034647,-51.217658,2.33,668.71,1244.22
Arroz,426,426,2024-11-21,Pedro,Belo Horizonte,-19.924502,-43.935237,1.56,664.5600000000001,664.5600000000001
Algodão,969,397,2024-11-22,Desconhecido,São Paulo,-23.55052,-46.633308,17.68,7018.96,17131.92
Trigo,371,262,2024-11-23,Fernanda,Curitiba,-25.428954,-49.267137,1.42,372.04,526.8199999999999
Soja,924,460,2024-11-24,Ricardo,Salvador,-12.971399,-38.501305,2.33,1071.8,2152.92
Arroz,602,278,2024-11-25,Patrícia,Belo Horizonte,-19.924502,-43.935237,1.56,433.68,939.12
Soja,458,436,2024-11-26,Ana,Rio de Janeiro,-22.906847,-43.172896,2.33,1015.88,1067.14
Arroz,912,139,2024-11-27,Maria,Fortaleza,-3.71722,-38.5434,1.56,216.84,1422.72
Café,635,400,2024-11-28,Carlos,Rio de Janeiro,-22.906847,-43.172896,38.57,15428.0,24491.95
Arroz,459,202,2024-11-29,Pedro,Rio de Janeiro,-22.906847,-43.172896,1.56,315.12,716.0400000000001
Trigo,71,71,2024-11-30,Maria,Fortaleza,-3.71722,-38.5434,1.42,100.82,100.82
Algodão,123,124,2024-12-01,João,São Paulo,-23.55052,-46.633308,17.68,2192.32,2174.64
Café,182,158,2024-12-02,Patrícia,Porto Alegre,-30.034647,-51.217658,38.57,6094.06,7019.74
Arroz,395,263,2024-12-03,Fernanda,Fortaleza,-3.71722,-38.5434,1.56,410.28,616.2
Milho,737,396,2024-12-04,Patrícia,Brasília,-15.794229,-47.882166,1.09,431.64,803.33
Café,582,582,2024-12-05,Ana,Salvador,-12.971399,-38.501305,38.57,22447.74,22447.74
Milho,388,388,2024-12-06,Ana,Belo Horizonte,-19.924502,-43.935237,1.09,422.92,422.92
Cana-de-açúcar,270,177,2024-12-07,Maria,Salvador,-12.971399,-38.501305,1.28,226.56,345.6
Arroz,375,375,2024-12-08,Ana,Manaus,-3.10194,-60.025,1.56,585.0,585.0
Milho,939,429,2024-12-09,Maria,São Paulo,-23.55052,-46.633308,1.09,467.61,1023.51
Café,248,401,2024-12-10,Carlos,Recife,-8.04756,-34.877,38.57,15466.57,9565.36
Algodão,220,257,2024-12-11,Maria,Rio de Janeiro,-22.906847,-43.172896,17.68,4543.76,3889.6
Arroz,881,364,2024-12-12,Ana,São Paulo,-23.55052,-46.633308,1.56,567.84,1374.36
Café,319,319,2024-12-13,Fernanda,São Paulo,-23.55052,-46.633308,38.57,12303.83,12303.83
Cana-de-açúcar,904,421,2024-12-14,Patrícia,Rio de Janeiro,-22.906847,-43.172896,1.28,538.88,1157.12
Soja,559,559,2024-12-15,Ana,Salvador,-12.971399,-38.501305,2.33,1302.47,1302.47
Algodão,287,224,2024-12-16,Ricardo,Curitiba,-25.428954,-49.267137,17.68,3960.32,5074.16
Trigo,436,436,2024-12-17,Ricardo,Porto Alegre,-30.034647,-51.217658,1.42,619.12,619.12
Arroz,11,168,2024-12-18,Patrícia,Fortaleza,-3.71722,-38.5434,1.56,262.08,17.16
Trigo,70,449,2024-12-19,Pedro,São Paulo,-23.55052,-46.633308,1.42,637.5799999999999,99.4
Arroz,187,187,2024-12-20,Carlos,Fortaleza,-3.71722,-38.5434,1.56,291.72,291.72
Trigo,0,138,2024-12-21,Ana,Belo Horizonte,-19.924502,-43.935237,1.42,195.96,0.0
Trigo,713,407,2024-12-22,Fernanda,Rio de Janeiro,-22.906847,-43.172896,1.42,577.9399999999999,1012.46
Café,786,202,2024-12-23,Fernanda,Fortaleza,-3.71722,-38.5434,38.57,7791.14,30316.02
Arroz,844,21,2024-12-24,Ana,Porto Alegre,-30.034647,-51.217658,1.56,32.76,1316.64
Cana-de-açúcar,849,193,2024-12-25,Maria,Brasília,-15.794229,-47.882166,1.28,247.04,1086.72
Arroz,918,467,2024-12-26,Ana,Salvador,-12.971399,-38.501305,1.56,728.52,1432.0800000000002
Soja,807,160,2024-12-27,Patrícia,Porto Alegre,-30.034647,-51.217658,2.33,372.8,1880.31
Trigo,863,863,2024-12-28,Fernanda,Fortaleza,-3.71722,-38.5434,1.42,1225.46,1225.46
Soja,965,271,2024-12-29,Ana,Curitiba,-25.428954,-49.267137,2.33,631.4300000000001,2248.4500000000003
Algodão,717,99,2024-12-30,Fernanda,Curitiba,-25.428954,-49.267137,17.68,1750.32,12676.56
Cana-de-açúcar,431,456,2024-12-31,Maria,Fortaleza,-3.71722,-38.5434,1.28,583.6800000000001,551.6800000000001
Trigo,650,120,2025-01-01,Maria,Recife,-8.04756,-34.877,1.42,170.39999999999998,923.0
Trigo,974,974,2025-01-02,Carlos,São Paulo,-23.55052,-46.633308,1.42,1383.08,1383.08
Soja,222,272,2025-01-03,Ana,Manaus,-3.10194,-60.025,2.33,633.76,517.26
Algodão,11,373,2025-01-04,Patrícia,Belo Horizonte,-19.924502,-43.935237,17.68,6594.64,194.48
Arroz,899,147,2025-01-05,Maria,São Paulo,-23.55052,-46.633308,1.56,229.32,1402.44
Algodão,49,69,2025-01-06,Ricardo,Fortaleza,-3.71722,-38.5434,17.68,1219.92,866.3199999999999
Milho,758,143,2025-01-07,Fernanda,Belo Horizonte,-19.924502,-43.935237,1.09,155.87,826.22
Trigo,214,414,2025-01-08,Fernanda,São Paulo,-23.55052,-46.633308,1.42,587.88,303.88
Soja,147,137,2025-01-09,Carlos,Manaus,-3.10194,-60.025,2.33,319.21000000000004,342.51
Café,66,292,2025-01-10,Desconhecido,Brasília,-15.794229,-47.882166,38.57,11262.44,2545.62
Milho,814,162,2025-01-11,João,Manaus,-3.10194,-60.025,1.09,176.58,887.2600000000001
Cana-de-açúcar,682,460,2025-01-12,Pedro,Fortaleza,-3.71722,-38.5434,1.28,588.8000000000001,872.96
Cana-de-açúcar,918,1,2025-01-13,Fernanda,Brasília,-15.794229,-47.882166,1.28,1.28,1175.04
Milho,636,311,2025-01-14,Maria,Salvador,-12.971399,-38.501305,1.09,338.99,693.24
Café,423,17,2025-01-15,Ricardo,Porto Alegre,-30.034647,-51.217658,38.57,655.69,16315.11
Arroz,732,498,2025-01-16,Carlos,Porto Alegre,-30.034647,-51.217658,1.56,776.88,1141.92
Soja,656,656,2025-01-17,Ana,Porto Alegre,-30.034647,-51.217658,2.33,1528.48,1528.48
Milho,479,132,2025-01-18,Ana,São Paulo,-23.55052,-46.633308,1.09,143.88000000000002,522.11
Cana-de-açúcar,448,184,2025-01-19,Pedro,Brasília,-15.794229,-47.882166,1.28,235.52,573.44
Arroz,352,208,2025-01-20,Fernanda,Manaus,-3.10194,-60.025,1.56,324.48,549.12
Soja,64,64,2025-01-21,Patrícia,Rio de Janeiro,-22.906847,-43.172896,2.33,149.12,149.12
Cana-de-açúcar,250,112,2025-01-22,Ricardo,Porto Alegre,-30.034647,-51.217658,1.28,143.36,320.0
Algodão,865,68,2025-01-23,Pedro,Porto Alegre,-30.034647,-51.217658,17.68,1202.24,15293.2
Café,471,123,2025-01-24,Ana,Manaus,-3.10194,-60.025,38.57,4744.11,18166.47
Milho,190,400,2025-01-25,Ricardo,Fortaleza,-3.71722,-38.5434,1.09,436.00000000000006,207.1
Arroz,101,101,2025-01-26,Carlos,Fortaleza,-3.71722,-38.5434,1.56,157.56,157.56
Café,567,420,2025-01-27,Pedro,Brasília,-15.794229,-47.882166,38.57,16199.4,21869.19
Arroz,212,2,2025-01-28,Pedro,Salvador,-12.971399,-38.501305,1.56,3.12,330.72
Café,51,260,2025-01-29,Pedro,Belo Horizonte,-19.924502,-43.935237,38.57,10028.2,1967.07
Soja,677,677,2025-01-30,Carlos,Belo Horizonte,-19.924502,-43.935237,2.33,1577.41,1577.41
Cana-de-açúcar,993,75,2025-01-31,João,Curitiba,-25.428954,-49.267137,1.28,96.0,1271.04
Algodão,812,187,2025-02-01,Ricardo,Recife,-8.04756,-34.877,17.68,3306.16,14356.16
Soja,947,199,2025-02-02,João,Belo Horizonte,-19.924502,-43.935237,2.33,463.67,2206.51
Algodão,397,66,2025-02-03,Fernanda,Belo Horizonte,-19.924502,-43.935237,17.68,1166.88,7018.96
Trigo,134,182,2025-02-04,Carlos,Curitiba,-25.428954,-49.267137,1.42,258.44,190.28
Café,916,460,2025-02-05,Fernanda,Manaus,-3.10194,-60.025,38.57,17742.2,35330.12
Trigo,267,267,2025-02-06,Ana,Salvador,-12.971399,-38.501305,1.42,379.14,379.14
Milho,318,239,2025-02-07,Carlos,Curitiba,-25.428954,-49.267137,1.09,260.51,346.62
Cana-de-açúcar,460,130,2025-02-08,Ricardo,São Paulo,-23.55052,-46.633308,1.28,166.4,588.8000000000001
Trigo,355,355,2025-02-09,Maria,Brasília,-15.794229,-47.882166,1.42,504.1,504.1
Café,625,29,2025-02-10,João,Belo Horizonte,-19.924502,-43.935237,38.57,1118.53,24106.25
Café,433,429,2025-02-11,Desconhecido,Manaus,-3.10194,-60.025,38.57,16546.53,16700.81
Algodão,899,466,2025-02-12,João,Rio de Janeiro,-22.906847,-43.172896,17.68,8238.88,15894.32
Trigo,629,326,2025-02-13,Ana,Curitiba,-25.428954,-49.267137,1.42,462.92,893.18
Cana-de-açúcar,661,381,2025-02-14,Carlos,Manaus,-3.10194,-60.025,1.28,487.68,846.08
Milho,61,252,2025-02-15,Patrícia,Curitiba,-25.428954,-49.267137,1.09,274.68,66.49000000000001
Milho,120,120,2025-02-16,Fernanda,Manaus,-3.10194,-60.025,1.09,130.8,130.8
Algodão,96,230,2025-02-17,João,Curitiba,-25.428954,-49.267137,17.68,4066.4,1697.28
Algodão,124,310,2025-02-18,Patrícia,Curitiba,-25.428954,-49.267137,17.68,5480.8,2192.32
Soja,20,116,2025-02-19,Ricardo,Recife,-8.04756,-34.877,2.33,270.28000000000003,46.6
Arroz,670,178,2025-02-20,Ana,São Paulo,-23.55052,-46.633308,1.56,277.68,1045.2
Trigo,904,394,2025-02-21,Desconhecido,Brasília,-15.794229,-47.882166,1.42,559.48,1283.6799999999998
Arroz,935,490,2025-02-21,Maria,Brasília,-15.794229,-47.882166,1.56,764.4,1458.6
Café,314,314,2025-02-23,Patrícia,Curitiba,-25.428954,-49.267137,38.57,12110.98,12110.98
Soja,781,464,2025-02-24,Maria,Manaus,-3.10194,-60.025,2.33,1081.12,1819.73
Café,680,441,2025-02-25,Ricardo,Fortaleza,-3.71722,-38.5434,38.57,17009.37,26227.6
Trigo,263,257,2025-02-26,Pedro,São Paulo,-23.55052,-46.633308,1.42,364.94,373.46
Trigo,929,72,2025-02-27,Ana,Brasília,-15.794229,-47.882166,1.42,102.24,1319.1799999999998
Trigo,258,1,2025-02-28,Fernanda,São Paulo,-23.55052,-46.633308,1.42,1.42,366.36
Algodão,25,318,2025-03-01,Carlos,Curitiba,-25.428954,-49.267137,17.68,5622.24,442.0
Algodão,888,484,2025-03-02,Pedro,Rio de Janeiro,-22.906847,-43.172896,17.68,8557.119999999999,15699.84
Arroz,96,77,2025-03-03,Fernanda,Porto Alegre,-30.034647,-51.217658,1.56,120.12,149.76
Algodão,495,495,2025-03-04,João,Recife,-8.04756,-34.877,17.68,8751.6,8751.6
Arroz,938,35,2025-03-05,Pedro,Porto Alegre,-30.034647,-51.217658,1.56,54.6,1463.28
Soja,964,327,2025-03-05,Maria,Porto Alegre,-30.034647,-51.217658,2.33,761.91,2246.12
Soja,951,215,2025-03-07,Fernanda,São Paulo,-23.55052,-46.633308,2.33,500.95,2215.83
Café,334,334,2025-03-08,Patrícia,Curitiba,-25.428954,-49.267137,38.57,12882.38,12882.38
Arroz,239,199,2025-03-09,Patrícia,São Paulo,-23.55052,-46.633308,1.56,310.44,372.84
Trigo,44,44,2025-03-10,Carlos,Fortaleza,-3.71722,-38.5434,1.42,62.48,62.48
Milho,5,133,2025-03-11,Patrícia,Rio de Janeiro,-22.906847,-43.172896,1.09,144.97,5.45
Milho,962,418,2025-03-12,Maria,Manaus,-3.10194,-60.025,1.09,455.62000000000006,1048.5800000000002
Trigo,877,877,2025-03-13,Ricardo,Recife,-8.04756,-34.877,1.42,1245.34,1245.34
Soja,167,478,2025-03-14,Patrícia,Belo Horizonte,-19.924502,-43.935237,2.33,1113.74,389.11
Café,139,66,2025-03-15,Fernanda,Recife,-8.04756,-34.877,38.57,2545.62,5361.2300000000005
Milho,622,82,2025-03-16,Ricardo,Belo Horizonte,-19.924502,-43.935237,1.09,89.38000000000001,677.98
Arroz,485,47,2025-03-17,Carlos,Brasília,-15.794229,-47.882166,1.56,73.32000000000001,756.6
Trigo,424,24,2025-03-18,Maria,Curitiba,-25.428954,-49.267137,1.42,34.08,602.0799999999999
Trigo,657,284,2025-03-19,Maria,Belo Horizonte,-19.924502,-43.935237,1.42,403.28,932.94
Trigo,425,272,2025-03-20,Ricardo,São Paulo,-23.55052,-46.633308,1.42,386.24,603.5
Algodão,471,140,2025-03-21,Carlos,São Paulo,-23.55052,-46.633308,17.68,2475.2,8327.28
Café,218,218,2025-03-22,Maria,Rio de Janeiro,-22.906847,-43.172896,38.57,8408.26,8408.26
Cana-de-açúcar,754,458,2025-03-23,Pedro,Fortaleza,-3.71722,-38.5434,1.28,586.24,965.12
Café,799,232,2025-03-24,João,Curitiba,-25.428954,-49.267137,38.57,8948.24,30817.43
Cana-de-açúcar,737,85,2025-03-25,Maria,Belo Horizonte,-19.924502,-43.935237,1.28,108.8,943.36
Café,720,167,2025-03-26,Patrícia,Rio de Janeiro,-22.906847,-43.172896,38.57,6441.19,27770.4
Soja,708,110,2025-03-27,Ricardo,Curitiba,-25.428954,-49.267137,2.33,256.3,1649.64
Soja,637,40,2025-03-28,Maria,Brasília,-15.794229,-47.882166,2.33,93.2,1484.21
Algodão,53,419,2025-03-29,João,Manaus,-3.10194,-60.025,17.68,7407.92,937.04
Café,792,262,2025-03-30,Pedro,Porto Alegre,-30.034647,-51.217658,38.57,10105.34,30547.44
Algodão,857,415,2025-03-31,Carlos,Rio de Janeiro,-22.906847,-43.172896,17.68,7337.2,15151.76
Milho,104,402,2025-04-01,Fernanda,Rio de Janeiro,-22.906847,-43.172896,1.09,438.18,113.36
Cana-de-açúcar,258,226,2025-04-02,Carlos,Rio de Janeiro,-22.906847,-43.172896,1.28,289.28000000000003,330.24
Milho,808,467,2025-04-03,Carlos,Recife,-8.04756,-34.877,1.09,509.03,880.72
Café,420,251,2025-04-04,Desconhecido,Belo Horizonte,-19.924502,-43.935237,38.57,9681.07,16199.4
Milho,782,311,2025-04-05,Ana,Salvador,-12.971399,-38.501305,1.09,338.99,852.3800000000001
Algodão,651,50,2025-04-06,Desconhecido,Rio de Janeiro,-22.906847,-43.172896,17.68,884.0,11509.68
Cana-de-açúcar,31,317,2025-04-07,Maria,Rio de Janeiro,-22.906847,-43.172896,1.28,405.76,39.68
Arroz,139,73,2025-04-08,Carlos,Brasília,-15.794229,-47.882166,1.56,113.88,216.84
Soja,34,417,2025-04-09,Fernanda,São Paulo,-23.55052,-46.633308,2.33,971.61,79.22
Arroz,870,283,2025-04-10,Pedro,Belo Horizonte,-19.924502,-43.935237,1.56,441.48,1357.2
Trigo,238,70,2025-04-11,Pedro,Belo Horizonte,-19.924502,-43.935237,1.42,99.4,337.96
Algodão,184,307,2025-04-12,João,Curitiba,-25.428954,-49.267137,17.68,5427.76,3253.12
Soja,839,134,2025-04-13,Ana,Salvador,-12.971399,-38.501305,2.33,312.22,1954.87
Milho,608,395,2025-04-14,Ana,Recife,-8.04756,-34.877,1.09,430.55,662.72
Soja,3,163,2025-04-15,João,Porto Alegre,-30.034647,-51.217658,2.33,379.79,6.99
Algodão,955,316,2025-04-16,João,Fortaleza,-3.71722,-38.5434,17.68,5586.88,16884.4
Café,288,490,2025-04-17,Patrícia,Belo Horizonte,-19.924502,-43.935237,38.57,18899.3,11108.16
Cana-de-açúcar,688,184,2025-04-18,Pedro,Porto Alegre,-30.034647,-51.217658,1.28,235.52,880.64
Algodão,237,328,2025-04-19,Fernanda,Salvador,-12.971399,-38.501305,17.68,5799.04,4190.16
Milho,836,473,2025-04-20,João,Brasília,-15.794229,-47.882166,1.09,515.57,911.24
Algodão,974,36,2025-04-21,Ana,Porto Alegre,-30.034647,-51.217658,17.68,636.48,17220.32
Algodão,524,182,2025-04-22,Pedro,São Paulo,-23.55052,-46.633308,17.68,3217.76,9264.32
Algodão,21,187,2025-04-23,Ana,Porto Alegre,-30.034647,-51.217658,17.68,3306.16,371.28
Trigo,105,158,2025-04-24,Fernanda,Salvador,-12.971399,-38.501305,1.42,224.36,149.1
Soja,259,219,2025-04-25,Pedro,Curitiba,-25.428954,-49.267137,2.33,510.27,603.47
Arroz,111,111,2025-04-26,Patrícia,Fortaleza,-3.71722,-38.5434,1.56,173.16,173.16
Soja,281,39,2025-04-27,Ana,Fortaleza,-3.71722,-38.5434,2.33,90.87,654.73
Cana-de-açúcar,265,140,2025-04-28,Ana,Rio de Janeiro,-22.906847,-43.172896,1.28,179.20000000000002,339.2
Café,29,212,2025-04-29,Fernanda,Brasília,-15.794229,-47.882166,38.57,8176.84,1118.53
Algodão,480,179,2025-04-30,Fernanda,Salvador,-12.971399,-38.501305,17.68,3164.72,8486.4
Trigo,569,569,2025-05-01,Fernanda,Manaus,-3.10194,-60.025,1.42,807.9799999999999,807.9799999999999
Cana-de-açúcar,238,399,2025-05-02,Maria,Curitiba,-25.428954,-49.267137,1.28,510.72,304.64
Arroz,562,142,2025-05-03,Ricardo,Recife,-8.04756,-34.877,1.56,221.52,876.72
Algodão,354,58,2025-05-04,Ana,Recife,-8.04756,-34.877,17.68,1025.44,6258.72
Trigo,211,211,2025-05-05,Fernanda,Manaus,-3.10194,-60.025,1.42,299.62,299.62
Trigo,228,383,2025-05-06,Ricardo,Manaus,-3.10194,-60.025,1.42,543.86,323.76
Cana-de-açúcar,657,279,2025-05-07,Pedro,Salvador,-12.971399,-38.501305,1.28,357.12,840.96
Café,761,85,2025-05-08,Pedro,Recife,-8.04756,-34.877,38.57,3278.45,29351.77
Arroz,196,287,2025-05-09,Maria,Brasília,-15.794229,-47.882166,1.56,447.72,305.76
Milho,834,296,2025-05-10,Fernanda,São Paulo,-23.55052,-46.633308,1.09,322.64000000000004,909.06
Algodão,69,480,2025-05-11,Desconhecido,Manaus,-3.10194,-60.025,17.68,8486.4,1219.92
Café,995,266,2025-05-12,Patrícia,Recife,-8.04756,-34.877,38.57,10259.62,38377.15
Milho,288,258,2025-05-13,Patrícia,Belo Horizonte,-19.924502,-43.935237,1.09,281.22,313.92
Cana-de-açúcar,48,377,2025-05-14,João,Salvador,-12.971399,-38.501305,1.28,482.56,61.44
Milho,484,484,2025-05-15,Pedro,Curitiba,-25.428954,-49.267137,1.09,527.5600000000001,527.5600000000001
Milho,597,96,2025-05-16,Maria,Salvador,-12.971399,-38.501305,1.09,104.64,650.73
Trigo,638,21,2025-05-17,Ricardo,Salvador,-12.971399,-38.501305,1.42,29.82,905.96
Cana-de-açúcar,106,106,2025-05-18,Ana,São Paulo,-23.55052,-46.633308,1.28,135.68,135.68
Algodão,883,240,2025-05-19,Fernanda,Recife,-8.04756,-34.877,17.68,4243.2,15611.44
Arroz,358,28,2025-05-20,Carlos,Rio de Janeiro,-22.906847,-43.172896,1.56,43.68,558.48
Café,158,158,2025-05-21,Ricardo,São Paulo,-23.55052,-46.633308,38.57,6094.06,6094.06
Cana-de-açúcar,892,380,2025-05-22,Carlos,Curitiba,-25.428954,-49.267137,1.28,486.4,1141.76
Milho,67,121,2025-05-23,Carlos,Curitiba,-25.428954,-49.267137,1.09,131.89,73.03
Trigo,459,39,2025-05-24,Patrícia,São Paulo,-23.55052,-46.633308,1.42,55.38,651.78
Trigo,612,207,2025-05-25,João,Recife,-8.04756,-34.877,1.42,293.94,869.04
Cana-de-açúcar,576,18,2025-05-26,João,Rio de Janeiro,-22.906847,-43.172896,1.28,23.04,737.28
Trigo,522,400,2025-05-27,Ricardo,Fortaleza,-3.71722,-38.5434,1.42,568.0,741.24
Algodão,331,364,2025-05-28,Pedro,Curitiba,-25.428954,-49.267137,17.68,6435.52,5852.08
Trigo,140,20,2025-05-29,Patrícia,Manaus,-3.10194,-60.025,1.42,28.4,198.8
Soja,988,76,2025-05-30,Ana,Brasília,-15.794229,-47.882166,2.33,177.08,2302.04
Soja,866,154,2025-05-31,João,Fortaleza,-3.71722,-38.5434,2.33,358.82,2017.78
Milho,443,443,2025-06-01,João,São Paulo,-23.55052,-46.633308,1.09,482.87000000000006,482.87000000000006
Algodão,462,424,2025-06-02,João,Fortaleza,-3.71722,-38.5434,17.68,7496.32,8168.16
Algodão,85,175,2025-06-03,Patrícia,Manaus,-3.10194,-60.025,17.68,3094.0,1502.8
Milho,811,42,2025-06-04,Ricardo,Curitiba,-25.428954,-49.267137,1.09,45.78,883.99
Cana-de-açúcar,225,423,2025-06-05,João,Brasília,-15.794229,-47.882166,1.28,541.44,288.0
